data1;tiempo1;tiempo2;data2;casos_con_sintomas;casos_sin_sintomas;uci;pcr;casos_activos;fallecidos;fim_cuarentena;region;poblacion_region;codigo_region;segunda_cuarentena;id;comuna;codigo_comuna_c;ingreso_per_capita;escolaridad;pobreza;alcantarillado;indice_desarrollo_humano;porcentaje_rural;porcentaje_sector_primario;poblacion;capital_regional;capital_provincial;aeropuerto;puerto;poblacion_edad_15_a_64;poblacion_edad_0_a_4;poblacion_edad_5_a_9;poblacion_edad_10_a_14;poblacion_edad_15_a_19;poblacion_edad_20_a_24;poblacion_edad_25_a_29;poblacion_edad_30_a_34;poblacion_edad_35_a_39;poblacion_edad_40_a_44;poblacion_edad_45_a_49;poblacion_edad_50_a_54;poblacion_edad_55_a_59;poblacion_edad_60_a_64;poblacion_edad_65_a_69;poblacion_edad_70_a_74;poblacion_edad_75_a_79;poblacion_edad_80_y_mas;idse;densidad_poblacional;hacinamiento;inmigrantes;ips;indice_ruralidad
07-08-2020;42;45;10-08-2020;94;40;45;1332;25;4;1;OHiggins;991063;6;0;48;Graneros;6106;159.4;9.4;13.2;93.6;0.507;0.108143673;0.234382435;36504;0;0;0;0;22382;2098;2680;2523;2402;2469;2635;2448;2330;2297;2218;2264;1969;1450;1113;886;534;568;586;324.62;2.94;291;NA;47.43
28-11-2020;28;30;30-11-2020;95;68;34;4143;12;1;1;Los Lagos;891440;10;0;49;Hualaihue;10403;149.9;8.8;8.1;72.9;0.56;0.592911449;0.23947789;9525;0;0;0;0;5938;461;646;768;528;476;634;659;657;666;720;664;532;431;319;259;179;200;562;3.36;2.01;8;NA;64.33
13-04-2020;14;17;16-04-2020;15;NA;34;312;46;NA;1;Biobio;1663696;8;0;50;Hualpen;8112;219;10.3;19.5;98.5;0.585;0.008586403;0.015659896;97273;0;0;0;0;62579;4567;6048;5722;6472;7651;7376;5937;5761;6124;6298;6791;5763;4599;3550;3026;2329;2259;636;1809.06;2.99;225;NA;31.58
16-10-2020;49;52;19-10-2020;176;59;84;3669;79;28;1;Biobio;1663696;8;1;51;Hualpen_2;8112;219;10.3;19.5;98.5;0.585;0.008586403;0.015659896;97273;0;0;0;0;62579;4567;6048;5722;6472;7651;7376;5937;5761;6124;6298;6791;5763;4599;3550;3026;2329;2259;636;1809.06;2.99;225;NA;31.58
07-10-2020;35;41;13-10-2020;136;42;83;3000;19;10;1;Biobio;1663696;8;0;52;Hualqui;8105;105.3;8.8;27.2;78.1;0.409;0.141536185;0.081103944;26201;0;0;0;0;16104;1317;1913;1748;1775;1859;1849;1556;1600;1497;1707;1788;1496;1186;876;690;495;559;435;48.9;2.69;25;NA;41.78
28-08-2020;105;108;31-08-2020;320;205;524;12168;67;144;1;Metropolitana;8125072;13;0;53;Huechuraba;13107;219.4;10.2;14.7;97;0.584;0.001003334;0.012382466;112528;0;0;0;0;66093;5802;8059;7543;7542;7509;6959;6490;7243;8272;7858;6470;4508;3416;3161;2804;1732;1491;655;2501.73;3.41;4688;58.06;30.11
17-09-2020;147;151;21-09-2020;246;119;428;9537;80;274;1;Metropolitana;8125072;13;0;54;Independencia;13108;243;11.5;7.6;98.4;0.544;0;0.006828487;142065;0;0;0;0;72314;5428;5564;4663;5518;9675;12199;9964;7948;6913;5818;5519;4790;4098;3236;2821;1932;2717;731;19328.57;2.73;30023;71.36;3.97
02-10-2020;140;141;03-10-2020;17;9;8;803;183;143;1;Tarapaca;382773;1;0;55;Iquique;1101;227.6;11.1;10.2;98.8;0.631;0.0125504;0.045396286;223463;1;0;1;1;132629;10975;14137;12580;12798;15018;17641;16417;15037;13303;11615;11478;10540;9303;6462;4551;2884;3371;698;97.6;2.86;26777;NA;35.73
07-09-2020;42;49;14-09-2020;291;151;455;11436;31;24;1;Metropolitana;8125072;13;0;56;Isla de Maipo;13603;150.1;9.3;11;88.2;0.54;0.256163892;0.153946876;40171;0;0;0;0;24431;2067;2731;2620;2686;2832;2805;2517;2414;2530;2427;2564;2152;1634;1244;1014;625;721;593;211.85;3.06;427;80.28;48.77
14-11-2020;14;16;16-11-2020;205;92;325;12834;14;29;1;Metropolitana;8125072;13;1;57;Isla de Maipo_2;13603;150.1;9.3;11;88.2;0.54;0.256163892;0.153946876;40171;0;0;0;0;24431;2067;2731;2620;2686;2832;2805;2517;2414;2530;2427;2564;2152;1634;1244;1014;625;721;593;211.85;3.06;427;80.28;48.77
04-09-2020;119;122;07-09-2020;351;178;471;13080;68;136;1;Metropolitana;8125072;13;0;58;La Cisterna;13109;235;11.2;9.5;100;0.645;0;0.006178653;100434;0;0;0;0;61118;4329;5598;5049;5686;7049;8127;7236;6149;5718;5510;5630;5501;4539;3754;3121;2395;3267;724;10033.37;2.86;4719;66.93;18.22
21-09-2020;56;63;28-09-2020;94;23;95;2318;15;5;1;Valparaiso;1960170;5;0;59;La Cruz;5504;180.4;10.1;13.2;88.4;0.583;0.119739343;0.187000205;25321;0;0;0;0;14672;1401;1751;1574;1551;1397;1802;1919;1810;1529;1365;1324;1146;922;714;606;428;471;615;325.21;2.74;347;NA;45.6
28-08-2020;112;115;31-08-2020;320;205;524;12168;223;505;1;Metropolitana;8125072;13;0;60;La Florida;13110;261.2;11.5;9.5;99.4;0.722;0.000318874;0.007778855;402433;0;0;0;0;251149;17613;23024;22005;24846;28971;31107;27114;25036;24730;23060;23477;23444;20750;16708;12878;8072;8208;741;5664.88;3.06;12030;59.28;25.01
04-09-2020;119;122;07-09-2020;351;178;471;13080;73;211;1;Metropolitana;8125072;13;0;61;La Granja;13111;149.8;9.9;17.8;94;0.528;0;0.004082693;122557;0;0;0;0;79967;6131;7622;7289;8335;9766;9849;8088;6949;6700;6644;8235;8658;6880;4863;3328;2190;3118;592;12194.73;3.39;3031;70.14;14.8
24-09-2020;147;151;28-09-2020;301;112;416;12554;87;341;1;Metropolitana;8125072;13;0;62;La Pintana;13112;135.8;8.9;20.1;94.4;0.49;0;0.006963445;189335;0;0;0;0;119328;11189;14346;13351;13930;15349;14927;12588;11563;11181;10215;10805;10269;8622;6553;4487;2757;2037;561;6213.82;3.54;2147;83.03;24.12
24-07-2020;70;74;28-07-2020;605;182;1068;8832;54;82;1;Metropolitana;8125072;13;0;63;La Reina;13113;530.5;12.6;5.8;100;0.808;0;0.014154359;100252;0;0;0;0;62159;3970;5688;5721;6717;7225;6628;5362;6177;6608;6306;6482;5927;4972;4159;3327;2490;3459;831;4286.11;3.11;5087;32.48;27.42
23-09-2020;56;61;28-09-2020;30;18;34;1185;86;64;1;Coquimbo;836096;4;0;64;La Serena;4101;194.3;10.6;14.5;97.9;0.619;0.092348476;0.080366053;249656;0;1;0;0;149178;12125;16427;15069;17614;19666;18149;15171;14273;14542;14100;13850;12290;10181;7881;6196;4376;5150;669;131.31;2.53;4091;NA;39.98
28-11-2020;28;33;03-12-2020;38;43;10;857;52;7;1;Los Rios;405835;14;0;65;La Union;14201;156.5;8.9;19.6;70.7;0.475;0.299032496;0.151219512;39538;0;1;0;0;24499;1911;2671;2707;2874;2485;2611;2313;2267;2437;2570;2796;2525;2019;1748;1358;957;1132;499;18.55;2.51;42;NA;50.37
28-11-2020;28;30;30-11-2020;37;42;8;990;6;0;1;Los Rios;405835;14;0;66;Lago Ranco;14203;134.9;7.9;21.3;49;0.372;0.770715441;0.220310296;10292;0;0;0;0;6213;484;708;694;596;539;641;569;574;697;753;768;663;594;464;366;285;313;418;5.84;1.85;5;NA;69.35
07-08-2020;84;87;10-08-2020;411;225;841;9953;107;52;1;Metropolitana;8125072;13;0;67;Lampa;13302;140.2;9.1;18.2;87.2;0.505;0.208489327;0.063839662;126898;0;0;0;0;69124;7369;9342;8127;7683;7618;8686;9031;8747;7865;6458;5575;4439;3244;2235;1552;989;1015;550;282.3;3.06;3585;70.85;42.84
09-04-2020;14;21;16-04-2020;255;NA;184;2962;43;NA;1;Metropolitana;8125072;13;0;68;Las Condes;13114;953;14.7;1.7;99.6;0.972;0;0.020108592;330759;0;0;0;0;203649;13117;14685;14136;18207;24467;26000;23621;21076;19565;18511;18461;18106;15794;12413;11165;8447;12527;970;3338.98;2.5;30308;11.68;29.15
24-07-2020;70;74;28-07-2020;605;182;1068;8832;167;270;1;Metropolitana;8125072;13;1;69;Las Condes_2;13114;953;14.7;1.7;99.6;0.972;0;0.020108592;330759;0;0;0;0;203649;13117;14685;14136;18207;24467;26000;23621;21076;19565;18511;18461;18106;15794;12413;11165;8447;12527;970;3338.98;2.5;30308;11.68;29.15
19-12-2020;42;48;25-12-2020;129;59;37;1543;79;7;0;La Araucania;1014343;9;0;70;Lautaro;9108;125.1;8.6;26.9;61.4;0.408;0.281272196;0.091520764;40746;0;0;0;0;24702;2219;2891;2757;2870;2934;2870;2547;2385;2669;2608;2377;2094;1765;1359;1202;839;949;405;44.96;2.69;59;NA;46.93
